transaction_id,admission_number,isbn,issue_date,due_date,return_date,fine_amount,status
LIB00001,STU20240001,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00002,STU20240002,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00003,STU20240003,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00004,STU20240004,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00005,STU20240005,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00006,STU20240006,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00007,STU20240007,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00008,STU20240008,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00009,STU20240009,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00010,STU20240010,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00011,STU20240011,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00012,STU20240012,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00013,STU20240013,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00014,STU20240014,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00015,STU20240015,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00016,STU20240016,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00017,STU20240017,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00018,STU20240018,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00019,STU20240019,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00020,STU20240020,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00021,STU20240021,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00022,STU20240022,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00023,STU20240023,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00024,STU20240024,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00025,STU20240025,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00026,STU20240026,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00027,STU20240027,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00028,STU20240028,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00029,STU20240029,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00030,STU20240030,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00031,STU20240031,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00032,STU20240032,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00033,STU20240033,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00034,STU20240034,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00035,STU20240035,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00036,STU20240036,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00037,STU20240037,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00038,STU20240038,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00039,STU20240039,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00040,STU20240040,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00041,STU20240041,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00042,STU20240042,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00043,STU20240043,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00044,STU20240044,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00045,STU20240045,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00046,STU20240046,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00047,STU20240047,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00048,STU20240048,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00049,STU20240049,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00050,STU20240050,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00051,STU20240051,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00052,STU20240052,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00053,STU20240053,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00054,STU20240054,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00055,STU20240055,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00056,STU20240056,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00057,STU20240057,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00058,STU20240058,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00059,STU20240059,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00060,STU20240060,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00061,STU20240061,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00062,STU20240062,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00063,STU20240063,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00064,STU20240064,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00065,STU20240065,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00066,STU20240066,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00067,STU20240067,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00068,STU20240068,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00069,STU20240069,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00070,STU20240070,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00071,STU20240071,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00072,STU20240072,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00073,STU20240073,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00074,STU20240074,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00075,STU20240075,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00076,STU20240076,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00077,STU20240077,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00078,STU20240078,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
LIB00079,STU20240079,9789389620001,01-07-2024,15-07-2024,,0,ISSUED
